name-of-company,name-of-job,location,salary,tech
Ripple Technology,Senior ASIC Design Engineer,"Milpitas, CA",$100K - $299K (Employer est.),Python
theCoderSchool Palo Alto,Code Coach,"Palo Alto, CA",$18.00 - $30.00 Per Hour (Employer est.),Python
EnerRenew,IT Engineer (Internal & External),"Saratoga, CA",$63K - $150K (Employer est.),Python
DataAnnotation4.0,Software Developer - AI Trainer (Contract),"San Jose, CA",$30.00 Per Hour (Employer est.),Python
"Allegro MicroSys (ALGM), Design & Manufacturing Mixed-Signal Chips/IC's. Exclusive Job Opportunity3.4",Staff Test Engineer (ATE/Wafer/Probe),"Milpitas, CA",$145K - $180K (Employer est.),Python
ASML4.1,Senior Software Architect,"San Jose, CA",$163K - $212K (Glassdoor est.),Python
Granite River Labs Inc,Lab Manager,"Santa Clara, CA",$150K - $250K (Employer est.),Python
Sandia National Laboratories4.1,R&D Radiation Transport and Effects Computational Scientist (Mid-Career/Experienced),"Livermore, CA",$112K - $177K (Glassdoor est.),Python
San Francisco Bay University,Adjunct Instructor – Computer Science (On-site),"Fremont, CA",$139.50 Per Hour (Employer est.),Python
Loyola Enterprises Inc.,West Coast DevOps Developer (Requires TS/SCI Clearance),California,$140K (Employer est.),Python
Kett Engineering Corporation2.9,Reliability Test Engineer,"Santa Clara, CA",$30.00 Per Hour (Employer est.),Python
Stingray Direct4.5,E-commerce Data Scientist - Health and Wellness - California REMOTE,California,$110K - $130K (Employer est.),Python
"Element Energy, Inc.3.5",QA Engineer - MLOps Testing Lead,"Menlo Park, CA",$157K - $165K (Employer est.),Python
Granite River Labs Inc,Staff / Senior Staff Hardware Engineer,"Santa Clara, CA",$90K - $200K (Employer est.),Python
Strategic Employment3.4,NPU Architect,"San Jose, CA",$200K - $250K (Employer est.),Python
Sensel5.0,Software Engineer: Tools and Applications,"Sunnyvale, CA",$130K - $170K (Employer est.),Python
theCoderSchool Cupertino,Code Coach,"Cupertino, CA",$18.00 - $36.00 Per Hour (Employer est.),Python
San Francisco Bay University,Online Instructor - Computer Science,"Fremont, CA",$139.50 Per Hour (Employer est.),Python
Health Care Recruiters International4.0,Senior Software Engineer (Surgical Robotics & Controls),"San Jose, CA",$175K - $220K (Employer est.),Python
"General Dynamics Mission Systems, Inc3.9",Digital Signal Processing (DSP) Software Engineer,"San Jose, CA",$110K - $120K (Employer est.),Python
Kett Engineering Corporation2.9,Lab Technician- Firmware emphasis,"Cupertino, CA",$30.00 - $40.00 Per Hour (Employer est.),Python
Celandyne Software Solutions,Python-Developers,"Santa Clara, CA",$80K - $144K (Glassdoor est.),Python
TalentBurst4.4,"Sr. Mechanical Designer, Power Electronics","San Jose, CA",$60.00 Per Hour (Employer est.),Python
Northrop Grumman4.0,Associate Software Engineer / Software Engineer (Active Top Secret Clearance REQUIRED),"San Jose, CA",$79K - $119K (Employer est.),Python
BayOne3.9,Python Dev,"San Jose, CA",$99K - $154K (Glassdoor est.),Python
Indx Technology4.4,Computational Biologist-I,"Cupertino, CA",$95K - $152K (Glassdoor est.),Python
Demant4.0,Marketing Insights Manager,United States,,Python
UST4.0,C++ Developer,"Santa Clara, CA",$74K - $110K (Employer est.),Python
LMI Technologies4.0,Solutions Engineer,"Cupertino, CA",$76K - $101K (Employer est.),Python
Adobe4.4,"Software Engineer, Python- Firefly","San Jose, CA",$124K - $234K (Employer est.),Python
,,,,Python
